,fund_id,currency,inception_date,tag,total_assets,yield,return_ytd,years_up,years_down,category_ratio_net_annual_expense,2014_category_return,2012_return_category,2018_return_category,category_return_1year,cash_percent_of_portfolio,pc_ratio,2011_return_category,ytd_return_fund,2014_return_fund,category_return_1month,2013_return_fund,fund_return_3months,ytd_return_category,pb_ratio,2017_category_return,1_year_return_fund,pe_ratio,2015_return_fund,portfolio_convertable,3_months_return_category,portfolio_others,2016_return_fund,mmc,stock_percent_of_portfolio,2016_return_category,ps_ratio,2011_return_fund,2010_return_fund,fund_return_3years_x,2012_fund_return,2018_return_fund,2017_return_fund,category_return_2015,1_month_fund_return,bond_percentage_of_porfolio,portfolio_preferred,2010_return_category,2013_category_return,fund_ratio_net_annual_expense,portfolio_communication_allocation,portfolio_financial_services,portfolio_industrials_allocation,portfolio_tech_allocation,portfolio_materials_basic_allocation,portfolio_energy_allocation,portfolio_consumer_defence_allocation,portfolio_healthcare_allocation,portfolio_property_allocation,portfolio_utils_allocation,portfolio_cyclical_consumer_allocation,category,parent_company,fund_name,bb_rating,us_govt_bond_rating,below_b_rating,others_rating,maturity_bond,b_rating,a_rating,aaa_rating,aa_rating,bbb_rating,duration_bond,3yrs_treynor_ratio_fund,3_years_alpha_fund,3years_category_std,3yrs_sharpe_ratio_fund,3yrs_treynor_ratio_category,3_years_return_mean_annual_fund,fund_beta_3years,3years_fund_r_squared,3years_fund_std,category_beta_3years,fund_return_3years_y,3_years_alpha_category,3_years_return_mean_annual_category,3yrs_sharpe_ratio_category,3years_category_r_squared,3_years_return_category,category_r_squared_5years,5yrs_sharpe_ratio_fund,5_years_alpha_fund,5years_fund_r_squared,5years_fund_std,5yrs_sharpe_ratio_category,5_years_beta_fund,5yrs_treynor_ratio_fund,5_years_return_mean_annual_fund,5_years_return_mean_annual_category,5yrs_treynor_ratio_category,5_years_return_fund,5_years_alpha_category,5_years_beta_category,5years_category_std,5_years_return_category,10years_category_r_squared,10yrs_sharpe_ratio_fund,10_years_alpha_fund,10years_fund_r_squared,10years_fund_std,10yrs_sharpe_ratio_category,10_years_beta_fund,10yrs_treynor_ratio_fund,10_years_return_mean_annual_category,10yrs_treynor_ratio_category,10_years_return_fund,10_years_alpha_category,10_years_beta_category,10years_category_std,10_years_return_mean_annual_fund,10_years_return_category,investment_class_0.0,investment_class_1.0,investment_class_2.0,fund_size_0.0,fund_size_1.0,fund_size_2.0,total_assets_t,category_ratio_net_annual_expense_t
0,85a6edf9-db47-490c-981a-168ce90434bb,USD,1997-02-06,87272,336200000.0,3.0,3.0,18.0,3.0,0.94,10.0,8.0,1.0,4.0,0.0,0.0,10.0,3.0,10.0,1.0,-4.0,3.0,2.0,0.0,3.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,2.0,7.0,1.0,4.0,2.0,1.0,100.0,0.0,1.0,-6.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Muni Single State Long,Nuveen,Nuveen Kentucky Municipal Bond Fund Class I,0.0,0.0,0.0,1.63,13.58,0.0,40.79,19.25,21.9,16.44,6.49,1.18,-0.2,0.03,0.35,0.01,0.19,0.83,97.77,2.93,0.01,2.28,-0.01,0.0,0.0,0.95,1.9,0.92,1.02,0.19,96.73,2.66,0.01,0.87,3.16,0.29,0.0,0.03,3.55,-0.0,0.01,0.03,3.16,0.92,1.15,0.12,97.12,3.66,0.01,0.97,4.4,0.0,0.04,4.71,-0.01,0.01,0.04,0.39,4.22,1,0,0,0,1,0,26.40764116310989,-0.06084838954738362
1,654dac08-5e5d-4cf0-870e-3167087de7d2,USD,2005-03-31,160073,3330000000.0,2.0,12.0,11.0,2.0,1.15,17.0,7.0,3.0,17.0,4.0,7.0,11.0,12.0,12.0,3.0,19.0,12.0,11.0,2.0,12.0,15.0,18.0,-15.0,0.0,11.0,0.0,11.0,23044.0,95.0,14.0,2.0,6.0,13.0,9.0,12.0,0.0,14.0,-10.0,4.0,0.0,1.0,9.0,18.0,1.75,19.02,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,64.78,0.0,Utilities,MFS,MFS Utilities Fund Class R1,0.0,0.0,0.0,0.0,2.785,0.0,0.0,0.0,0.0,0.0,1.985,15.69,3.25,0.11,0.94,0.26,0.78,0.52,36.65,8.6,0.0,9.41,0.05,0.01,0.01,0.13,9.39,0.16,0.41,0.05,53.49,10.75,0.01,0.71,5.47,0.43,0.01,0.25,4.68,0.06,0.0,0.12,8.87,0.29,0.97,3.04,69.89,11.92,0.01,0.72,15.98,0.01,0.3,11.89,0.07,0.0,0.11,1.0,12.25,0,0,1,1,0,0,30.583553899263904,0.1451970781039751
2,75214019-f876-42a9-a316-328b759ac4ba,USD,2011-09-29,166391,3100000000.0,4.0,2.0,6.0,1.0,1.18,1.0,8.0,-1.0,2.0,10.0,1.0,-1.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,4.0,3.0,16.0,-0.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,4.0,2.0,13.0,3.0,16.0,1.0,4.0,-1.0,1.0,90.0,0.0,10.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nontraditional Bond,Metropolitan West Funds,Metropolitan West Unconstrained Bond Fund Class M,6.13,0.0,11.45,0.03,5.12,3.21,13.89,38.59,5.07,21.62,2.0,8.93,1.71,0.03,1.8,0.25,0.26,0.21,36.49,0.99,0.0,3.2,0.02,0.0,0.01,0.14,3.71,0.12,1.6,1.26,22.98,0.99,0.01,0.17,9.64,0.2,0.0,-0.13,2.4,0.01,-0.0,0.03,2.04,0.07,0.96,-0.3,86.08,12.74,0.01,1.01,10.29,0.0,0.14,0.0,0.04,0.0,0.04,0.9,4.99,0,1,0,0,1,0,30.448996315416636,0.17317313610705848
3,1fe8de6d-cd33-489e-a829-211f1f622eed,USD,2016-12-12,183797,40040000.0,2.0,7.0,1.0,1.0,0.46,4.0,9.0,-4.0,3.0,15.0,8.0,1.0,7.0,3.0,1.0,4.0,7.0,7.0,2.0,12.0,3.0,15.0,-3.0,0.0,7.0,1.0,4.0,40536.0,38.0,6.0,2.0,0.0,10.0,0.0,11.0,-5.0,10.0,-2.0,1.0,46.0,0.0,9.0,5.0,1.15,3.18,12.3,9.85,17.68,3.21,4.6,6.78,11.67,18.0,2.84,9.9,Target-Date 2020,PGIM Funds (Prudential),Prudential Day One 2020 Fund Class R1,0.0,0.0,0.0,0.0,2.785,0.0,0.0,0.0,0.0,0.0,1.985,6.15,-0.59,0.05,0.74,0.06,0.62,0.98,81.91,9.66,0.01,0.0,-0.0,0.01,0.01,0.94,6.57,0.94,0.55,-0.49,82.36,10.34,0.01,0.97,4.04,0.41,0.0,0.04,0.0,-0.0,0.01,0.06,4.58,0.94,0.96,-0.3,86.08,12.74,0.01,1.01,10.29,0.01,0.09,0.0,-0.0,0.01,0.08,0.9,9.23,1,0,0,1,0,0,22.77198058474739,-0.6337004100295507
4,bd87a7a0-6ca5-4607-a0cf-d396ecd6037a,USD,1995-11-01,190232,5340000000.0,0.0,17.0,16.0,7.0,1.06,10.0,15.0,-2.0,11.0,1.0,19.0,-2.0,17.0,9.0,2.0,36.0,17.0,16.0,8.0,28.0,11.0,29.0,10.0,0.0,16.0,0.0,-2.0,151311.0,99.0,3.0,4.0,-1.0,11.0,17.0,15.0,-2.0,35.0,4.0,2.0,0.0,0.0,16.0,34.0,1.69,0.77,11.48,7.92,36.96,0.0,0.0,3.99,14.26,1.0,0.0,23.61,Large Growth,PGIM Funds (Prudential),PGIM Jennison Growth Fund- Class C,0.0,0.0,0.0,0.0,2.785,0.0,0.0,0.0,0.0,0.0,1.985,14.5,2.42,0.13,1.15,0.13,1.42,1.11,75.79,13.68,0.01,17.37,0.01,0.01,0.01,0.84,15.35,0.86,0.89,0.96,80.13,13.86,0.01,1.11,10.86,1.09,0.01,0.1,12.84,-0.0,0.01,0.13,11.26,0.88,1.06,-0.46,83.12,14.8,0.01,1.06,14.78,0.01,0.15,16.15,-0.01,0.01,0.14,1.35,15.94,0,1,0,1,0,0,31.47842398573269,0.0591996912211203
5,b8038c02-320a-448b-a67c-0d1e564da483,USD,2014-03-31,160325,214470000.0,3.0,10.0,2.0,2.0,0.45,5.0,15.0,-7.0,3.0,6.0,8.0,-3.0,10.0,6.0,1.0,26.0,10.0,10.0,2.0,18.0,4.0,16.0,-2.0,0.0,10.0,0.0,7.0,45398.0,68.0,8.0,2.0,-2.0,18.0,10.0,15.0,-6.0,19.0,-2.0,1.0,26.0,0.0,14.0,25.0,0.67,2.95,16.75,11.14,16.88,4.12,4.44,7.9,12.35,7.93,2.35,13.2,Target-Date 2035,MassMutual,MassMutual RetireSMART by JPMorgan 2035 Fund Class R5,8.33,0.0,4.46,0.19,10.83,8.16,11.51,44.83,4.03,18.5,5.48,6.32,-0.52,0.08,1.0,0.06,0.8,1.32,96.12,8.27,0.01,9.66,-0.01,0.01,0.01,0.97,9.13,0.96,0.55,-1.33,96.42,9.27,0.01,1.37,3.51,0.49,0.01,0.04,5.6,-0.01,0.01,0.09,5.95,0.97,0.96,-0.3,86.08,12.74,0.01,1.01,10.29,0.01,0.08,0.0,-0.02,0.01,0.12,0.9,11.53,1,0,0,1,0,0,25.620854664784407,-0.6480374180168306
6,f26ddcde-461a-437f-90fa-d09df9cc9c14,USD,2006-12-21,107234,330670000.0,5.0,7.0,9.0,3.0,1.02,1.0,15.0,-3.0,4.0,4.0,2.0,3.0,7.0,2.0,1.0,6.0,7.0,6.0,1.0,6.0,5.0,6.0,-5.0,3.0,6.0,0.0,13.0,4904.0,0.0,13.0,1.0,3.0,15.0,6.0,13.0,-4.0,7.0,-4.0,1.0,93.0,0.0,14.0,7.0,1.36,0.0,57.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.53,High Yield Bond,Hartford Mutual Funds,Hartford High Yield Fund Class R3,38.25,0.0,10.33,0.73,6.73,48.24,0.42,0.0,0.0,2.03,3.92,21.04,4.93,0.04,1.12,0.3,0.53,0.25,2.54,4.52,0.0,6.49,0.05,0.01,0.01,0.04,6.97,0.03,0.5,1.94,2.91,5.07,0.01,0.3,8.11,0.28,0.0,0.11,3.25,0.02,0.0,0.05,3.45,0.03,1.29,6.97,3.46,6.45,0.01,0.42,20.17,0.01,0.23,8.95,0.08,0.0,0.07,0.73,9.49,0,0,1,0,1,0,26.37843165245962,0.019909382391860943
7,bb34d6b2-e2e4-4326-8d6c-7026fbf8c787,USD,2006-04-27,120338,258430000.0,1.0,1.0,11.0,1.0,0.75,1.0,4.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,96.0,0.0,4.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Short-Term Bond,Voya,Voya Limited Maturity Bond Portfolio Class A,0.27,0.0,0.0,0.61,2.22,0.0,20.95,47.18,10.44,20.55,1.92,-0.97,-0.43,0.01,-0.29,0.03,0.09,0.25,81.61,0.84,0.0,1.05,0.0,0.0,0.0,0.6,1.87,0.52,0.06,-0.4,73.09,0.77,0.01,0.22,0.18,0.07,0.0,0.03,0.84,0.0,0.0,0.01,1.45,0.39,0.99,0.28,40.05,1.08,0.01,0.24,4.47,0.0,0.04,1.53,0.01,0.0,0.02,0.13,2.7,0,0,1,0,1,0,25.94595397806354,-0.2663560538002465
8,5a4b1356-f0b7-47d6-8bb0-c96b7dcf1ef0,USD,2009-11-12,168065,63580000.0,2.0,8.0,6.0,3.0,0.45,5.0,13.0,-5.0,3.0,0.0,7.0,-2.0,8.0,6.0,1.0,16.0,8.0,8.0,2.0,15.0,3.0,13.0,-1.0,0.0,8.0,0.0,7.0,24282.0,63.0,7.0,1.0,-1.0,10.0,7.0,12.0,-5.0,13.0,-2.0,1.0,36.0,0.0,13.0,15.0,0.61,2.72,17.63,12.17,18.49,5.03,5.74,7.17,11.24,4.21,3.06,12.55,Target-Date 2025,Great-West Funds,Great-West SecureFoundation Lifetime 2025 Fund Investor Class,0.83,0.0,0.0,0.52,7.9,0.0,10.5,73.18,3.33,11.64,6.02,5.57,-1.07,0.06,0.9,0.06,0.55,0.96,98.14,5.95,0.01,6.67,-0.01,0.01,0.01,0.97,7.51,0.96,0.68,-0.05,96.91,6.31,0.01,0.94,4.54,0.43,0.0,0.04,5.05,-0.0,0.01,0.07,5.09,0.97,0.96,-0.3,86.08,12.74,0.01,1.01,10.29,0.01,0.08,0.0,-0.01,0.01,0.1,0.9,10.25,1,0,0,1,0,0,23.543219813586177,-0.6480374180168306
9,65a38cf4-971e-410a-b335-624752f3b8e1,USD,2014-03-31,154907,559830000.0,1.0,7.0,2.0,2.0,1.01,2.0,10.0,-8.0,0.0,8.0,10.0,-3.0,7.0,2.0,1.0,13.0,7.0,8.0,2.0,15.0,-1.0,16.0,-1.0,0.0,8.0,2.0,4.0,54721.0,53.0,6.0,2.0,-4.0,10.0,5.0,10.0,-8.0,13.0,-4.0,1.0,35.0,1.0,10.0,10.0,1.24,8.96,10.05,10.38,14.35,5.8,11.26,10.08,13.4,3.76,3.77,8.18,World Allocation,MassMutual,MassMutual Select BlackRock Global Allocation Fund Class R4,2.16,0.0,0.0,1.31,4.64,3.63,5.12,79.46,1.11,7.21,4.23,3.95,-2.68,0.07,0.64,0.05,0.45,1.02,95.21,6.36,0.01,5.31,-0.02,0.01,0.01,0.82,6.14,0.84,0.36,-2.21,93.54,6.77,0.0,0.98,2.25,0.27,0.0,0.02,3.02,-0.03,0.01,0.08,3.01,0.89,0.96,-0.3,86.08,12.74,0.01,1.01,10.29,0.01,0.07,0.0,-0.02,0.01,0.1,0.9,8.38,1,0,0,1,0,0,27.31255975159794,0.009977236485880805
10,afc3c5b6-2794-4122-805c-d138bcdd3d6f,USD,1994-06-30,224486,95790000.0,0.0,18.0,18.0,6.0,1.19,7.0,14.0,-7.0,8.0,1.0,12.0,-4.0,18.0,1.0,1.0,36.0,18.0,18.0,3.0,24.0,5.0,20.0,-3.0,0.0,18.0,0.0,4.0,5478.0,99.0,6.0,1.0,-0.0,27.0,10.0,14.0,-11.0,16.0,-1.0,0.0,0.0,0.0,25.0,35.0,1.5,0.76,5.76,25.83,29.59,4.41,1.14,3.88,14.7,0.86,1.13,11.94,Mid-Cap Growth,Sit,Sit Small Cap Growth Fund,0.0,0.0,0.0,0.0,2.785,0.0,0.0,0.0,0.0,0.0,1.985,6.65,-6.25,0.14,0.62,0.11,0.88,1.29,86.08,14.97,0.01,9.88,-0.01,0.01,0.01,0.81,14.18,0.78,0.31,-7.32,77.18,15.02,0.01,1.18,3.12,0.46,0.01,0.07,4.48,-0.03,0.01,0.14,8.99,0.82,0.83,-3.97,80.07,16.38,0.01,1.16,11.3,0.01,0.14,13.49,-0.02,0.01,0.16,1.17,15.7,0,1,0,0,1,0,24.23544796480253,0.182426001444174
11,0f724657-15f5-4299-a236-db22a89f9e16,USD,2017-04-19,122642,132890000.0,2.0,8.0,0.0,1.0,1.21,2.0,15.0,-15.0,-3.0,3.0,6.0,-6.0,8.0,4.0,-3.0,25.0,8.0,12.0,2.0,9.0,10.0,19.0,-5.0,0.0,12.0,0.0,15.0,2036.0,97.0,15.0,2.0,-0.0,18.0,0.0,16.0,-1.0,10.0,-6.0,-2.0,0.0,0.0,16.0,24.0,0.9,0.0,15.86,21.31,1.58,8.35,0.0,11.53,5.23,6.85,26.0,3.28,Small Value,Ivy Funds,Ivy ProShares Russell 2000 Dividend Growers Index Fund Class A,0.0,0.0,0.0,0.0,2.785,0.0,0.0,0.0,0.0,0.0,1.985,6.15,-0.59,0.16,0.74,0.06,0.62,0.98,81.91,9.66,0.01,0.0,-0.06,0.01,0.0,0.6,8.3,0.6,0.55,-0.49,82.36,10.34,0.0,0.97,4.04,0.41,0.0,0.03,0.0,-0.07,0.01,0.16,3.94,0.73,0.96,-0.3,86.08,12.74,0.01,1.01,10.29,0.01,0.11,0.0,-0.04,0.01,0.18,0.9,14.12,1,0,0,0,0,1,24.794253220668164,0.20082565170818256
12,b970945f-a0d7-4d0f-8d38-cec2e6867a46,USD,1991-02-28,224702,57960000.0,3.0,3.0,20.0,7.0,0.91,2.0,8.0,-1.0,0.0,7.0,0.0,3.0,3.0,0.0,1.0,-2.0,3.0,3.0,0.0,7.0,1.0,0.0,-1.0,2.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,-3.0,5.0,3.0,9.0,-3.0,7.0,-4.0,2.0,90.0,0.0,6.0,-3.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,World Bond,DWS,DWS High Conviction Global Bond Fund - Class S,4.0,0.0,0.0,3.0,5.62,9.0,19.0,30.0,10.0,25.0,5.31,1.43,0.66,0.05,0.41,0.01,0.22,0.94,67.83,3.33,0.01,2.64,0.0,0.0,0.0,0.42,2.17,0.32,0.24,-0.83,51.59,3.34,0.0,0.84,0.9,0.13,0.0,0.0,1.56,-0.01,0.01,0.05,1.1,0.28,0.49,-0.63,28.2,5.35,0.01,1.0,2.56,0.0,0.11,2.99,0.01,0.01,0.06,0.26,3.95,1,0,0,0,1,0,23.38804450260564,-0.09193858146067385
